Month,Geography,Measure type,Unit of Measure,Value
1999-01,K02000001,Price,Pence per litre,19.23
1999-01,K02000001,Volume,Million litres,1170
1999-01,K02000001,Butterfat,Percentage,4.08
1999-01,K02000001,Protein,Percentage,3.22
1999-02,K02000001,Price,Pence per litre,18.95
1999-02,K02000001,Volume,Million litres,1080
1999-02,K02000001,Butterfat,Percentage,4.07
1999-02,K02000001,Protein,Percentage,3.21
1999-03,K02000001,Price,Pence per litre,18.9
1999-03,K02000001,Volume,Million litres,1232
1999-03,K02000001,Butterfat,Percentage,4.06
1999-03,K02000001,Protein,Percentage,3.21
1999-04,K02000001,Price,Pence per litre,17.53
1999-04,K02000001,Volume,Million litres,1242
1999-04,K02000001,Butterfat,Percentage,4.06
1999-04,K02000001,Protein,Percentage,3.22
1999-05,K02000001,Price,Pence per litre,16.38
1999-05,K02000001,Volume,Million litres,1339
1999-05,K02000001,Butterfat,Percentage,3.92
1999-05,K02000001,Protein,Percentage,3.31
1999-06,K02000001,Price,Pence per litre,17.2
1999-06,K02000001,Volume,Million litres,1215
1999-06,K02000001,Butterfat,Percentage,3.9
1999-06,K02000001,Protein,Percentage,3.31
1999-07,K02000001,Price,Pence per litre,19.76
1999-07,K02000001,Volume,Million litres,1212
1999-07,K02000001,Butterfat,Percentage,3.88
1999-07,K02000001,Protein,Percentage,3.3
1999-08,K02000001,Price,Pence per litre,19.8
1999-08,K02000001,Volume,Million litres,1161
1999-08,K02000001,Butterfat,Percentage,3.94
1999-08,K02000001,Protein,Percentage,3.32
1999-09,K02000001,Price,Pence per litre,19.14
1999-09,K02000001,Volume,Million litres,1105
1999-09,K02000001,Butterfat,Percentage,4.02
1999-09,K02000001,Protein,Percentage,3.4
1999-10,K02000001,Price,Pence per litre,18.09
1999-10,K02000001,Volume,Million litres,1102
1999-10,K02000001,Butterfat,Percentage,4.15
1999-10,K02000001,Protein,Percentage,3.43
1999-11,K02000001,Price,Pence per litre,17.66
1999-11,K02000001,Volume,Million litres,1062
1999-11,K02000001,Butterfat,Percentage,4.17
1999-11,K02000001,Protein,Percentage,3.37
1999-12,K02000001,Price,Pence per litre,17.33
1999-12,K02000001,Volume,Million litres,1119
1999-12,K02000001,Butterfat,Percentage,4.14
1999-12,K02000001,Protein,Percentage,3.31
2000-01,K02000001,Price,Pence per litre,16.77
2000-01,K02000001,Volume,Million litres,1149
2000-01,K02000001,Butterfat,Percentage,4.08
2000-01,K02000001,Protein,Percentage,3.24
2000-02,K02000001,Price,Pence per litre,16.59
2000-02,K02000001,Volume,Million litres,1076
2000-02,K02000001,Butterfat,Percentage,4.04
2000-02,K02000001,Protein,Percentage,3.21
2000-03,K02000001,Price,Pence per litre,16.61
2000-03,K02000001,Volume,Million litres,1148
2000-03,K02000001,Butterfat,Percentage,4.03
2000-03,K02000001,Protein,Percentage,3.2
2000-04,K02000001,Price,Pence per litre,15.26
2000-04,K02000001,Volume,Million litres,1177
2000-04,K02000001,Butterfat,Percentage,4.06
2000-04,K02000001,Protein,Percentage,3.22
2000-05,K02000001,Price,Pence per litre,14.62
2000-05,K02000001,Volume,Million litres,1292
2000-05,K02000001,Butterfat,Percentage,3.91
2000-05,K02000001,Protein,Percentage,3.3
2000-06,K02000001,Price,Pence per litre,15.34
2000-06,K02000001,Volume,Million litres,1169
2000-06,K02000001,Butterfat,Percentage,3.9
2000-06,K02000001,Protein,Percentage,3.29
2000-07,K02000001,Price,Pence per litre,17.62
2000-07,K02000001,Volume,Million litres,1175
2000-07,K02000001,Butterfat,Percentage,3.86
2000-07,K02000001,Protein,Percentage,3.29
2000-08,K02000001,Price,Pence per litre,17.92
2000-08,K02000001,Volume,Million litres,1133
2000-08,K02000001,Butterfat,Percentage,3.92
2000-08,K02000001,Protein,Percentage,3.31
2000-09,K02000001,Price,Pence per litre,17.51
2000-09,K02000001,Volume,Million litres,1058
2000-09,K02000001,Butterfat,Percentage,4.04
2000-09,K02000001,Protein,Percentage,3.39
2000-10,K02000001,Price,Pence per litre,18.8
2000-10,K02000001,Volume,Million litres,1043
2000-10,K02000001,Butterfat,Percentage,4.15
2000-10,K02000001,Protein,Percentage,3.37
2000-11,K02000001,Price,Pence per litre,18.59
2000-11,K02000001,Volume,Million litres,1006
2000-11,K02000001,Butterfat,Percentage,4.16
2000-11,K02000001,Protein,Percentage,3.33
2000-12,K02000001,Price,Pence per litre,18.24
2000-12,K02000001,Volume,Million litres,1103
2000-12,K02000001,Butterfat,Percentage,4.08
2000-12,K02000001,Protein,Percentage,3.28
2001-01,K02000001,Price,Pence per litre,18.32
2001-01,K02000001,Volume,Million litres,1142
2001-01,K02000001,Butterfat,Percentage,4.06
2001-01,K02000001,Protein,Percentage,3.24
2001-02,K02000001,Price,Pence per litre,18.18
2001-02,K02000001,Volume,Million litres,1062
2001-02,K02000001,Butterfat,Percentage,4.02
2001-02,K02000001,Protein,Percentage,3.21
2001-03,K02000001,Price,Pence per litre,17.88
2001-03,K02000001,Volume,Million litres,1191
2001-03,K02000001,Butterfat,Percentage,4.06
2001-03,K02000001,Protein,Percentage,3.21
2001-04,K02000001,Price,Pence per litre,18.44
2001-04,K02000001,Volume,Million litres,1168
2001-04,K02000001,Butterfat,Percentage,4.05
2001-04,K02000001,Protein,Percentage,3.2
2001-05,K02000001,Price,Pence per litre,17.89
2001-05,K02000001,Volume,Million litres,1304
2001-05,K02000001,Butterfat,Percentage,3.85
2001-05,K02000001,Protein,Percentage,3.27
2001-06,K02000001,Price,Pence per litre,18.69
2001-06,K02000001,Volume,Million litres,1220
2001-06,K02000001,Butterfat,Percentage,3.84
2001-06,K02000001,Protein,Percentage,3.28
2001-07,K02000001,Price,Pence per litre,20.43
2001-07,K02000001,Volume,Million litres,1187
2001-07,K02000001,Butterfat,Percentage,3.86
2001-07,K02000001,Protein,Percentage,3.26
2001-08,K02000001,Price,Pence per litre,20.85
2001-08,K02000001,Volume,Million litres,1136
2001-08,K02000001,Butterfat,Percentage,3.9
2001-08,K02000001,Protein,Percentage,3.29
2001-09,K02000001,Price,Pence per litre,20.69
2001-09,K02000001,Volume,Million litres,1061
2001-09,K02000001,Butterfat,Percentage,4.01
2001-09,K02000001,Protein,Percentage,3.42
2001-10,K02000001,Price,Pence per litre,20.46
2001-10,K02000001,Volume,Million litres,1074
2001-10,K02000001,Butterfat,Percentage,4.11
2001-10,K02000001,Protein,Percentage,3.39
2001-11,K02000001,Price,Pence per litre,20.05
2001-11,K02000001,Volume,Million litres,1064
2001-11,K02000001,Butterfat,Percentage,4.12
2001-11,K02000001,Protein,Percentage,3.38
2001-12,K02000001,Price,Pence per litre,19.59
2001-12,K02000001,Volume,Million litres,1137
2001-12,K02000001,Butterfat,Percentage,4.11
2001-12,K02000001,Protein,Percentage,3.34
2002-01,K02000001,Price,Pence per litre,18.78
2002-01,K02000001,Volume,Million litres,1175
2002-01,K02000001,Butterfat,Percentage,4.07
2002-01,K02000001,Protein,Percentage,3.28
2002-02,K02000001,Price,Pence per litre,18.31
2002-02,K02000001,Volume,Million litres,1084
2002-02,K02000001,Butterfat,Percentage,4.03
2002-02,K02000001,Protein,Percentage,3.22
2002-03,K02000001,Price,Pence per litre,18
2002-03,K02000001,Volume,Million litres,1229
2002-03,K02000001,Butterfat,Percentage,4.05
2002-03,K02000001,Protein,Percentage,3.23
2002-04,K02000001,Price,Pence per litre,15.98
2002-04,K02000001,Volume,Million litres,1273
2002-04,K02000001,Butterfat,Percentage,3.99
2002-04,K02000001,Protein,Percentage,3.26
2002-05,K02000001,Price,Pence per litre,14.85
2002-05,K02000001,Volume,Million litres,1354
2002-05,K02000001,Butterfat,Percentage,3.89
2002-05,K02000001,Protein,Percentage,3.32
2002-06,K02000001,Price,Pence per litre,15.32
2002-06,K02000001,Volume,Million litres,1215
2002-06,K02000001,Butterfat,Percentage,3.89
2002-06,K02000001,Protein,Percentage,3.28
2002-07,K02000001,Price,Pence per litre,16.4
2002-07,K02000001,Volume,Million litres,1199
2002-07,K02000001,Butterfat,Percentage,3.84
2002-07,K02000001,Protein,Percentage,3.28
2002-08,K02000001,Price,Pence per litre,16.73
2002-08,K02000001,Volume,Million litres,1139
2002-08,K02000001,Butterfat,Percentage,3.86
2002-08,K02000001,Protein,Percentage,3.29
2002-09,K02000001,Price,Pence per litre,17.11
2002-09,K02000001,Volume,Million litres,1071
2002-09,K02000001,Butterfat,Percentage,3.95
2002-09,K02000001,Protein,Percentage,3.38
2002-10,K02000001,Price,Pence per litre,18.13
2002-10,K02000001,Volume,Million litres,1076
2002-10,K02000001,Butterfat,Percentage,4.08
2002-10,K02000001,Protein,Percentage,3.41
2002-11,K02000001,Price,Pence per litre,18.09
2002-11,K02000001,Volume,Million litres,1025
2002-11,K02000001,Butterfat,Percentage,4.12
2002-11,K02000001,Protein,Percentage,3.35
2002-12,K02000001,Price,Pence per litre,17.74
2002-12,K02000001,Volume,Million litres,1105
2002-12,K02000001,Butterfat,Percentage,4.08
2002-12,K02000001,Protein,Percentage,3.3
2003-01,K02000001,Price,Pence per litre,17.67
2003-01,K02000001,Volume,Million litres,1141
2003-01,K02000001,Butterfat,Percentage,4.02
2003-01,K02000001,Protein,Percentage,3.25
2003-02,K02000001,Price,Pence per litre,17.65
2003-02,K02000001,Volume,Million litres,1049
2003-02,K02000001,Butterfat,Percentage,4.02
2003-02,K02000001,Protein,Percentage,3.25
2003-03,K02000001,Price,Pence per litre,17.37
2003-03,K02000001,Volume,Million litres,1214
2003-03,K02000001,Butterfat,Percentage,3.98
2003-03,K02000001,Protein,Percentage,3.21
2003-04,K02000001,Price,Pence per litre,16.84
2003-04,K02000001,Volume,Million litres,1271
2003-04,K02000001,Butterfat,Percentage,3.89
2003-04,K02000001,Protein,Percentage,3.26
2003-05,K02000001,Price,Pence per litre,15.99
2003-05,K02000001,Volume,Million litres,1367
2003-05,K02000001,Butterfat,Percentage,3.82
2003-05,K02000001,Protein,Percentage,3.34
2003-06,K02000001,Price,Pence per litre,16.51
2003-06,K02000001,Volume,Million litres,1266
2003-06,K02000001,Butterfat,Percentage,3.79
2003-06,K02000001,Protein,Percentage,3.3
2003-07,K02000001,Price,Pence per litre,18.21
2003-07,K02000001,Volume,Million litres,1232
2003-07,K02000001,Butterfat,Percentage,3.83
2003-07,K02000001,Protein,Percentage,3.26
2003-08,K02000001,Price,Pence per litre,18.95
2003-08,K02000001,Volume,Million litres,1181
2003-08,K02000001,Butterfat,Percentage,3.87
2003-08,K02000001,Protein,Percentage,3.26
2003-09,K02000001,Price,Pence per litre,19.24
2003-09,K02000001,Volume,Million litres,1101
2003-09,K02000001,Butterfat,Percentage,4.02
2003-09,K02000001,Protein,Percentage,3.39
2003-10,K02000001,Price,Pence per litre,19.59
2003-10,K02000001,Volume,Million litres,1116
2003-10,K02000001,Butterfat,Percentage,4.14
2003-10,K02000001,Protein,Percentage,3.44
2003-11,K02000001,Price,Pence per litre,19.82
2003-11,K02000001,Volume,Million litres,1071
2003-11,K02000001,Butterfat,Percentage,4.18
2003-11,K02000001,Protein,Percentage,3.36
2003-12,K02000001,Price,Pence per litre,19.15
2003-12,K02000001,Volume,Million litres,1127
2003-12,K02000001,Butterfat,Percentage,4.11
2003-12,K02000001,Protein,Percentage,3.27
2004-01,K02000001,Price,Pence per litre,18.76
2004-01,K02000001,Volume,Million litres,1127
2004-01,K02000001,Butterfat,Percentage,4.02
2004-01,K02000001,Protein,Percentage,3.21
2004-02,K02000001,Price,Pence per litre,18.68
2004-02,K02000001,Volume,Million litres,1054
2004-02,K02000001,Butterfat,Percentage,4
2004-02,K02000001,Protein,Percentage,3.19
2004-03,K02000001,Price,Pence per litre,18.47
2004-03,K02000001,Volume,Million litres,1152
2004-03,K02000001,Butterfat,Percentage,4.05
2004-03,K02000001,Protein,Percentage,3.18
2004-04,K02000001,Price,Pence per litre,17.7
2004-04,K02000001,Volume,Million litres,1209
2004-04,K02000001,Butterfat,Percentage,4
2004-04,K02000001,Protein,Percentage,3.19
2004-05,K02000001,Price,Pence per litre,16.94
2004-05,K02000001,Volume,Million litres,1306
2004-05,K02000001,Butterfat,Percentage,3.81
2004-05,K02000001,Protein,Percentage,3.25
2004-06,K02000001,Price,Pence per litre,17.28
2004-06,K02000001,Volume,Million litres,1208
2004-06,K02000001,Butterfat,Percentage,3.81
2004-06,K02000001,Protein,Percentage,3.24
2004-07,K02000001,Price,Pence per litre,18.27
2004-07,K02000001,Volume,Million litres,1203
2004-07,K02000001,Butterfat,Percentage,3.87
2004-07,K02000001,Protein,Percentage,3.25
2004-08,K02000001,Price,Pence per litre,18.5
2004-08,K02000001,Volume,Million litres,1143
2004-08,K02000001,Butterfat,Percentage,3.89
2004-08,K02000001,Protein,Percentage,3.26
2004-09,K02000001,Price,Pence per litre,19.48
2004-09,K02000001,Volume,Million litres,1074
2004-09,K02000001,Butterfat,Percentage,4.05
2004-09,K02000001,Protein,Percentage,3.37
2004-10,K02000001,Price,Pence per litre,19.51
2004-10,K02000001,Volume,Million litres,1074
2004-10,K02000001,Butterfat,Percentage,4.16
2004-10,K02000001,Protein,Percentage,3.37
2004-11,K02000001,Price,Pence per litre,19.49
2004-11,K02000001,Volume,Million litres,1045
2004-11,K02000001,Butterfat,Percentage,4.15
2004-11,K02000001,Protein,Percentage,3.33
2004-12,K02000001,Price,Pence per litre,18.93
2004-12,K02000001,Volume,Million litres,1115
2004-12,K02000001,Butterfat,Percentage,4.11
2004-12,K02000001,Protein,Percentage,3.29
2005-01,K02000001,Price,Pence per litre,18.53
2005-01,K02000001,Volume,Million litres,1142
2005-01,K02000001,Butterfat,Percentage,4.1
2005-01,K02000001,Protein,Percentage,3.24
2005-02,K02000001,Price,Pence per litre,18.31
2005-02,K02000001,Volume,Million litres,1051
2005-02,K02000001,Butterfat,Percentage,4.08
2005-02,K02000001,Protein,Percentage,3.21
2005-03,K02000001,Price,Pence per litre,18.32
2005-03,K02000001,Volume,Million litres,1198
2005-03,K02000001,Butterfat,Percentage,4.1
2005-03,K02000001,Protein,Percentage,3.2
2005-04,K02000001,Price,Pence per litre,17.59
2005-04,K02000001,Volume,Million litres,1206
2005-04,K02000001,Butterfat,Percentage,4.02
2005-04,K02000001,Protein,Percentage,3.21
2005-05,K02000001,Price,Pence per litre,17.11
2005-05,K02000001,Volume,Million litres,1279
2005-05,K02000001,Butterfat,Percentage,3.87
2005-05,K02000001,Protein,Percentage,3.29
2005-06,K02000001,Price,Pence per litre,17.3
2005-06,K02000001,Volume,Million litres,1187
2005-06,K02000001,Butterfat,Percentage,3.86
2005-06,K02000001,Protein,Percentage,3.26
2005-07,K02000001,Price,Pence per litre,18.06
2005-07,K02000001,Volume,Million litres,1163
2005-07,K02000001,Butterfat,Percentage,3.9
2005-07,K02000001,Protein,Percentage,3.27
2005-08,K02000001,Price,Pence per litre,18.64
2005-08,K02000001,Volume,Million litres,1136
2005-08,K02000001,Butterfat,Percentage,3.93
2005-08,K02000001,Protein,Percentage,3.3
2005-09,K02000001,Price,Pence per litre,19.46
2005-09,K02000001,Volume,Million litres,1067
2005-09,K02000001,Butterfat,Percentage,4.04
2005-09,K02000001,Protein,Percentage,3.33
2005-10,K02000001,Price,Pence per litre,19.71
2005-10,K02000001,Volume,Million litres,1077
2005-10,K02000001,Butterfat,Percentage,4.11
2005-10,K02000001,Protein,Percentage,3.36
2005-11,K02000001,Price,Pence per litre,19.76
2005-11,K02000001,Volume,Million litres,1030
2005-11,K02000001,Butterfat,Percentage,4.16
2005-11,K02000001,Protein,Percentage,3.34
2005-12,K02000001,Price,Pence per litre,19.26
2005-12,K02000001,Volume,Million litres,1098
2005-12,K02000001,Butterfat,Percentage,4.15
2005-12,K02000001,Protein,Percentage,3.31
2006-01,K02000001,Price,Pence per litre,18.65
2006-01,K02000001,Volume,Million litres,1134
2006-01,K02000001,Butterfat,Percentage,4.1
2006-01,K02000001,Protein,Percentage,3.25
2006-02,K02000001,Price,Pence per litre,18.34
2006-02,K02000001,Volume,Million litres,1045
2006-02,K02000001,Butterfat,Percentage,4.06
2006-02,K02000001,Protein,Percentage,3.23
2006-03,K02000001,Price,Pence per litre,18.11
2006-03,K02000001,Volume,Million litres,1178
2006-03,K02000001,Butterfat,Percentage,4.1
2006-03,K02000001,Protein,Percentage,3.23
2006-04,K02000001,Price,Pence per litre,17.34
2006-04,K02000001,Volume,Million litres,1191
2006-04,K02000001,Butterfat,Percentage,4.09
2006-04,K02000001,Protein,Percentage,3.21
2006-05,K02000001,Price,Pence per litre,16.82
2006-05,K02000001,Volume,Million litres,1275
2006-05,K02000001,Butterfat,Percentage,3.93
2006-05,K02000001,Protein,Percentage,3.24
2006-06,K02000001,Price,Pence per litre,16.83
2006-06,K02000001,Volume,Million litres,1178
2006-06,K02000001,Butterfat,Percentage,3.83
2006-06,K02000001,Protein,Percentage,3.23
2006-07,K02000001,Price,Pence per litre,17.18
2006-07,K02000001,Volume,Million litres,1155
2006-07,K02000001,Butterfat,Percentage,3.84
2006-07,K02000001,Protein,Percentage,3.19
2006-08,K02000001,Price,Pence per litre,17.6
2006-08,K02000001,Volume,Million litres,1103
2006-08,K02000001,Butterfat,Percentage,3.97
2006-08,K02000001,Protein,Percentage,3.24
2006-09,K02000001,Price,Pence per litre,18.45
2006-09,K02000001,Volume,Million litres,1059
2006-09,K02000001,Butterfat,Percentage,4.06
2006-09,K02000001,Protein,Percentage,3.35
2006-10,K02000001,Price,Pence per litre,18.82
2006-10,K02000001,Volume,Million litres,1072
2006-10,K02000001,Butterfat,Percentage,4.13
2006-10,K02000001,Protein,Percentage,3.38
2006-11,K02000001,Price,Pence per litre,19
2006-11,K02000001,Volume,Million litres,1032
2006-11,K02000001,Butterfat,Percentage,4.17
2006-11,K02000001,Protein,Percentage,3.38
2006-12,K02000001,Price,Pence per litre,18.57
2006-12,K02000001,Volume,Million litres,1095
2006-12,K02000001,Butterfat,Percentage,4.19
2006-12,K02000001,Protein,Percentage,3.34
2007-01,K02000001,Price,Pence per litre,18.03
2007-01,K02000001,Volume,Million litres,1130
2007-01,K02000001,Butterfat,Percentage,4.13
2007-01,K02000001,Protein,Percentage,3.28
2007-02,K02000001,Price,Pence per litre,17.81
2007-02,K02000001,Volume,Million litres,1020
2007-02,K02000001,Butterfat,Percentage,4.08
2007-02,K02000001,Protein,Percentage,3.25
2007-03,K02000001,Price,Pence per litre,17.68
2007-03,K02000001,Volume,Million litres,1170
2007-03,K02000001,Butterfat,Percentage,4.1
2007-03,K02000001,Protein,Percentage,3.25
2007-04,K02000001,Price,Pence per litre,17.55
2007-04,K02000001,Volume,Million litres,1204
2007-04,K02000001,Butterfat,Percentage,4.02
2007-04,K02000001,Protein,Percentage,3.27
2007-05,K02000001,Price,Pence per litre,17.53
2007-05,K02000001,Volume,Million litres,1258
2007-05,K02000001,Butterfat,Percentage,3.92
2007-05,K02000001,Protein,Percentage,3.33
2007-06,K02000001,Price,Pence per litre,18.08
2007-06,K02000001,Volume,Million litres,1147
2007-06,K02000001,Butterfat,Percentage,3.89
2007-06,K02000001,Protein,Percentage,3.28
2007-07,K02000001,Price,Pence per litre,19.65
2007-07,K02000001,Volume,Million litres,1098
2007-07,K02000001,Butterfat,Percentage,3.93
2007-07,K02000001,Protein,Percentage,3.26
2007-08,K02000001,Price,Pence per litre,20.71
2007-08,K02000001,Volume,Million litres,1074
2007-08,K02000001,Butterfat,Percentage,3.97
2007-08,K02000001,Protein,Percentage,3.31
2007-09,K02000001,Price,Pence per litre,23.14
2007-09,K02000001,Volume,Million litres,1027
2007-09,K02000001,Butterfat,Percentage,4.06
2007-09,K02000001,Protein,Percentage,3.39
2007-10,K02000001,Price,Pence per litre,26.51
2007-10,K02000001,Volume,Million litres,1042
2007-10,K02000001,Butterfat,Percentage,4.17
2007-10,K02000001,Protein,Percentage,3.42
2007-11,K02000001,Price,Pence per litre,27.27
2007-11,K02000001,Volume,Million litres,1014
2007-11,K02000001,Butterfat,Percentage,4.23
2007-11,K02000001,Protein,Percentage,3.39
2007-12,K02000001,Price,Pence per litre,26.6
2007-12,K02000001,Volume,Million litres,1069
2007-12,K02000001,Butterfat,Percentage,4.2
2007-12,K02000001,Protein,Percentage,3.32
2008-01,K02000001,Price,Pence per litre,25.81
2008-01,K02000001,Volume,Million litres,1101
2008-01,K02000001,Butterfat,Percentage,4.13
2008-01,K02000001,Protein,Percentage,3.25
2008-02,K02000001,Price,Pence per litre,25.62
2008-02,K02000001,Volume,Million litres,1044
2008-02,K02000001,Butterfat,Percentage,4.1
2008-02,K02000001,Protein,Percentage,3.22
2008-03,K02000001,Price,Pence per litre,25.73
2008-03,K02000001,Volume,Million litres,1137
2008-03,K02000001,Butterfat,Percentage,4.13
2008-03,K02000001,Protein,Percentage,3.25
2008-04,K02000001,Price,Pence per litre,24.95
2008-04,K02000001,Volume,Million litres,1139
2008-04,K02000001,Butterfat,Percentage,4.09
2008-04,K02000001,Protein,Percentage,3.26
2008-05,K02000001,Price,Pence per litre,24.49
2008-05,K02000001,Volume,Million litres,1226
2008-05,K02000001,Butterfat,Percentage,3.9
2008-05,K02000001,Protein,Percentage,3.26
2008-06,K02000001,Price,Pence per litre,25
2008-06,K02000001,Volume,Million litres,1127
2008-06,K02000001,Butterfat,Percentage,3.92
2008-06,K02000001,Protein,Percentage,3.25
2008-07,K02000001,Price,Pence per litre,25.82
2008-07,K02000001,Volume,Million litres,1115
2008-07,K02000001,Butterfat,Percentage,3.87
2008-07,K02000001,Protein,Percentage,3.25
2008-08,K02000001,Price,Pence per litre,26.29
2008-08,K02000001,Volume,Million litres,1057
2008-08,K02000001,Butterfat,Percentage,4.02
2008-08,K02000001,Protein,Percentage,3.29
2008-09,K02000001,Price,Pence per litre,27
2008-09,K02000001,Volume,Million litres,973
2008-09,K02000001,Butterfat,Percentage,4.11
2008-09,K02000001,Protein,Percentage,3.35
2008-10,K02000001,Price,Pence per litre,27.36
2008-10,K02000001,Volume,Million litres,1015
2008-10,K02000001,Butterfat,Percentage,4.16
2008-10,K02000001,Protein,Percentage,3.36
2008-11,K02000001,Price,Pence per litre,27.08
2008-11,K02000001,Volume,Million litres,983
2008-11,K02000001,Butterfat,Percentage,4.19
2008-11,K02000001,Protein,Percentage,3.36
2008-12,K02000001,Price,Pence per litre,26.36
2008-12,K02000001,Volume,Million litres,1048
2008-12,K02000001,Butterfat,Percentage,4.19
2008-12,K02000001,Protein,Percentage,3.32
2009-01,K02000001,Price,Pence per litre,25.56
2009-01,K02000001,Volume,Million litres,1071
2009-01,K02000001,Butterfat,Percentage,4.14
2009-01,K02000001,Protein,Percentage,3.27
2009-02,K02000001,Price,Pence per litre,24.68
2009-02,K02000001,Volume,Million litres,981
2009-02,K02000001,Butterfat,Percentage,4.12
2009-02,K02000001,Protein,Percentage,3.23
2009-03,K02000001,Price,Pence per litre,24.37
2009-03,K02000001,Volume,Million litres,1122
2009-03,K02000001,Butterfat,Percentage,4.1
2009-03,K02000001,Protein,Percentage,3.21
2009-04,K02000001,Price,Pence per litre,23.25
2009-04,K02000001,Volume,Million litres,1144
2009-04,K02000001,Butterfat,Percentage,4.04
2009-04,K02000001,Protein,Percentage,3.23
2009-05,K02000001,Price,Pence per litre,20.6
2009-05,K02000001,Volume,Million litres,1203
2009-05,K02000001,Butterfat,Percentage,3.93
2009-05,K02000001,Protein,Percentage,3.26
2009-06,K02000001,Price,Pence per litre,22.4
2009-06,K02000001,Volume,Million litres,1130
2009-06,K02000001,Butterfat,Percentage,3.78
2009-06,K02000001,Protein,Percentage,3.24
2009-07,K02000001,Price,Pence per litre,22.99
2009-07,K02000001,Volume,Million litres,1101
2009-07,K02000001,Butterfat,Percentage,3.83
2009-07,K02000001,Protein,Percentage,3.22
2009-08,K02000001,Price,Pence per litre,23.26
2009-08,K02000001,Volume,Million litres,1053
2009-08,K02000001,Butterfat,Percentage,3.9
2009-08,K02000001,Protein,Percentage,3.26
2009-09,K02000001,Price,Pence per litre,24.05
2009-09,K02000001,Volume,Million litres,994
2009-09,K02000001,Butterfat,Percentage,4
2009-09,K02000001,Protein,Percentage,3.32
